Designator,Manufacturer Part Number or Seeed SKU,Qty,Link,
Capacitor Polarized,variant pth1; package cpol-radial-100uf-25v,1,,
Generic female header - 3 pins,"row single; hole size 1.0mm,0.508mm; pin spacing 0.1in (2.54mm); pins 3; form ♀ (female); package THT",1,,
"RGB LED (com. cathode, rbg)",polarity common cathode; rgb RGB; pin order rbg; package 5 mm [THT],1,,
DIP Switch 4 Position,variant variant 2; channels 4; package dipswitch-04,1,,
Header 2,variant polar_lock; package molex-1x2_lock,3,,
Generic female header - 7 pins,"row single; hole size 1.0mm,0.508mm; pin spacing 0.1in (2.54mm); pins 7; form ♀ (female); package THT",1,,
Header 3,variant polar_lock; package molex-1x3_lock,2,,
Arduino Nano (Rev3.0),type Arduino Nano (3.0),1,,
Generic shrouded header - 8 pins,"row double; variant variant 1; hole size 1.0mm,0.508mm; pin spacing 0.1in (2.54mm); pins 8; form ♂ (shrouded male); package THT",1,,
220Ω Resistor,bands 5; pin spacing 400 mil; tolerance ±5%; package THT; resistance 220Ω,3,,